Song,Artist,Pack,Note Design,Level,CC,Notes,Note Design,Level,CC,Notes,Note Design,Level,CC,Notes,Note Design,Level,CC,Notes,Side,BPM,Version,Date,Version,Date,Original
Cyaegha,USAO,Absolute Reason,夜浪、旧支配者,PST 5,5.5,760,夜浪、旧支配者,PRS 8,8.4,984,夜浪、旧支配者,FTR 10+,10.7,"1,368",N/A,,,,Conflict,200,2.0.0,19/3/21,N/A,,✓
Grimheart,Puru,Arcaea,Toaster,PST 2,2.5,728,Toaster,PRS 5,5.0,699,Toaster,FTR 8+,8.7,959,N/A,,,,Light,170,2.0.0,19/3/21,N/A,,
ReviXy,ikaruga_nex,Arcaea,Revoke Kurorak,PST 3,3.0,538,Revoke Kurorak,PRS 7,7.0,729,Revoke Kurorak,FTR 9,9.0,"1,047",N/A,,,,Conflict,115-185,2.0.0,19/3/21,N/A,,
"Red and Blue
and Green","fn(Arcaea
SoundTeam)",Arcaea,N/A,,,,N/A,,,,"《WARNING》
-chartaesthesia- and †chartaesthesia† UNCHAINED",FTR ?,0.0,"1,508","moonquay ""retrograde"" BLUE=LEFT RIGHT=RED",BYD 10,10.0,"1,194",Conflict,160,2.0.2,19/4/1,3.12.2,22/3/9,✓
VECTOЯ,WHITEFISTS,Arcaea,Nitro,PST 3,3.0,675,Nitro,PRS 7,7.0,"1,002",Nitro,FTR 9,9.4,"1,299",N/A,,,,Conflict,200,2.0.3,19/5/2,N/A,,
SUPERNOVA,BACO,Arcaea,東超新星,PST 3,3.0,664,東超新星,PRS 6,6.0,564,東超新星,FTR 9+,9.7,"1,123",N/A,,,,Conflict,150,2.0.3,19/5/2,N/A,,
"Dot to Dot
feat. shully",Mameyudoufu,Memory Archive: Variety,•Nitro•,PST 3,3.0,453,•Nitro•,PRS 6,6.0,522,•Nitro•,FTR 8,8.3,739,N/A,,,,Light,174,2.0.3,19/5/2,N/A,,
Garakuta Doll Play,t+pazolite,CHUNITHM,Arcaea Charting Team 【Royal Flush】,PST 4,4.5,444,Arcaea Charting Team 【Royal Flush】,PRS 6,6.5,572,Arcaea Charting Teamからの挑戦状,FTR 10,10.4,"1,035",N/A,,,,Conflict,256,2.1.0,19/5/23,N/A,,
Ikazuchi,光吉猛修,CHUNITHM,"先史の機械神
【夜浪】",PST 3,3.5,656,"先史の機械神
【夜浪】",PRS 7,7.5,976,"先史の機械神
【夜浪】",FTR 10,10.4,"1,347",N/A,,,,Conflict,200,2.1.0,19/5/23,N/A,,
World Vanquisher,void (Mournfinale),CHUNITHM,処刑人 【東星】,PST 2,2.5,529,処刑人 【東星】,PRS 5,5.5,759,処刑人 【東星】,FTR 10+,10.8,"1,452",N/A,,,,Light,170,2.1.0,19/5/23,N/A,,
Particle Arts,Virtual Self,Adverse Prelude,小東星,PST 3,3.5,529,小東星,PRS 6,6.0,637,小東星,FTR 8+,8.8,925,N/A,,,,Conflict,162-175,2.2.0,19/7/18,N/A,,
Vindication,Laur,Adverse Prelude,Toaster,PST 4,4.0,721,Toaster,PRS 6,6.5,899,Nitro vs Toaster,FTR 9,9.6,"1,075",N/A,,,,Light,174,2.2.0,19/7/18,N/A,,✓
Heavensdoor,LeaF,Adverse Prelude,Kurorak,PST 4,4.5,766,Kurorak,PRS 7,7.5,869,Black Tea,FTR 9+,9.9,"1,101",東星※天の門,BYD 10+,10.8,"1,534",Conflict,240,2.2.0,19/7/18,3.10.0,21/12/9,✓
Ringed Genesis,Edelritter,Adverse Prelude,夜浪 vs Nitro,PST 5,5.5,672,夜浪 vs Nitro,PRS 8,8.4,860,夜浪 vs Nitro,FTR 10+,10.8,"1,146",N/A,,,,Light,160,2.2.0,19/7/18,N/A,,✓
Dreadnought,"Mastermind
(xi + nora2r)",Memory Archive: Variety,Astronomer (Toaster + 東星),PST 4,4.0,715,Astronomer (Toaster + 東星),PRS 7,7.0,897,Astronomer (Toaster + 東星),FTR 9+,9.7,"1,099",N/A,,,,Conflict,96-384,2.2.0,19/7/18,N/A,,
Chelsea,7mai,Sunset Radiance,TaroNuke,PST 3,3.0,388,TaroNuke,PRS 6,6.0,503,TaroNuke,FTR 8+,8.9,650,N/A,,,,Light,174,2.3.0,19/8/22,N/A,,✓
AI[UE]OON,MYUKKE.,Sunset Radiance,N[I]TRO,PST 3,3.5,436,N[I]TRO,PRS 6,6.5,623,N[I]TRO,FTR 9,9.4,989,N/A,,,,Light,145,2.3.0,19/8/22,N/A,,✓
A Wandering Melody of Love,からとP⍺ոchii少年 feat. はるの,Sunset Radiance,恋のToaster,PST 3,3.5,422,恋のToaster,PRS 7,7.5,670,恋のToaster,FTR 9,9.6,931,N/A,,,,Light,165,2.3.0,19/8/22,N/A,,✓
Tie me down gently,"溝口ゆうま
feat. 大瀬良あい",Sunset Radiance,Kurorak,PST 3,3.0,581,Kurorak,PRS 5,5.5,535,Kurorak,FTR 8,8.3,724,N/A,,,,Conflict,191,2.3.0,19/8/22,N/A,,✓
Valhalla:0,Juggernaut.,Sunset Radiance,夜浪,PST 4,4.5,624,夜浪,PRS 7,7.5,893,夜浪,FTR 10,10.4,"1,173",N/A,,,,Conflict,200,2.3.0,19/8/22,N/A,,✓
Mirzam,Aoi vs. siqlo,Memory Archive: Original,"東星※
おおいぬ座β星",PST 4,4.0,662,"東星※
おおいぬ座β星",PRS 7,7.5,885,"東星※
おおいぬ座β星",FTR 10,10.0,"1,303",N/A,,,,Conflict,201,2.3.2,19/9/7,N/A,,✓
GLORY ： ROAD,"uma vs.
モリモリあつし",Crimson Solace,東星※紅空,PST 4,4.5,868,東星※紅空,PRS 7,7.0,999,東星※紅空,FTR 10,10.6,"1,479",N/A,,,,Light,250,2.4.0,19/10/8,N/A,,✓
Diode,Kolaa,Arcaea,Kurorak,PST 2,2.5,452,Kurorak,PRS 5,5.5,472,Kurorak,FTR 8,8.1,709,N/A,,,,Light,132,2.4.0,19/10/8,N/A,,✓
FREEF4LL,YUKIYANAGI,Arcaea,N↓TRO,PST 4,4.0,589,N↓TRO,PRS 7,7.0,782,N↓TRO,FTR 8,8.6,"1,023",TO4STER,BYD 9+,9.8,"1,336",Conflict,170,2.4.0,19/10/8,4.1.4,22/11/10,✓
Monochrome Princess,polysha,Arcaea,N↕︎tro,PST 4,4.5,621,N↕︎tro,PRS 7+,7.8,756,N↕︎tro,FTR 9+,9.7,974,N/A,,,,Conflict,160,2.4.3,19/10/26,N/A,,✓
Heavenly caress,Noah,Memory Archive: Original,Toaster,PST 3,3.5,855,Toaster,PRS 7,7.5,909,Toaster,FTR 9+,9.8,"1,560",N/A,,,,Light,241,2.4.3,19/10/26,N/A,,✓
Senkyou,MYTK,Arcaea,k//eternal,PST 3,3.0,627,k//eternal,PRS 5,5.5,722,k//eternal,FTR 8+,8.7,964,N/A,,,,Light,90,2.4.5,19/11/18,N/A,,✓
Filament,Puru,Memory Archive: Original,Toaster,PST 4,4.5,582,Toaster,PRS 7+,7.8,780,Toaster,FTR 9+,9.7,991,N/A,,,,Light,170,2.4.5,19/11/18,N/A,,✓
Avant Raze,"Sampling
Masters MEGA",Memory Archive: Partner,Avant Toast,PST 3,3.5,580,Avant Toast,PRS 6,6.5,727,Avant Toast,FTR 9,9.6,"1,125",N/A,,,,Conflict,200,2.4.7,19/12/9,N/A,,✓
BATTLE NO.1,"TANO*C
Sound Team",Memory Archive: Variety,Arcaea Team,PST 3,3.5,476,Arcaea Team,PRS 6,6.5,677,Arcaea Team,FTR 9+,9.7,"1,042",N/A,,,,Conflict,200,2.4.9,20/1/15,N/A,,
La'qryma of the Wasteland,DJ Noriken,Memory Archive: Original,Toaster,PST 3,3.5,447,Toaster,PRS 6,6.5,651,Toaster,FTR 9,9.1,956,"Nitro
「The Forsaken」",BYD 9+,9.9,"1,161",Conflict,168,2.5.0,20/1/22,3.6.4,21/6/30,✓
Einherjar Joker,DJ Genki vs. Gram,Memory Archive: Original,Requiem TaroNuke,PST 4,4.0,582,Requiem TaroNuke,PRS 7,7.0,767,Requiem TaroNuke,FTR 9+,9.8,"1,159",~REQUIEM~ 夜浪,BYD 10+,10.9,"1,857",Conflict,222,2.5.0,20/1/22,5.3.0,24/1/25,✓
IZANA,"t+pazolite
vs. P*Light",Memory Archive: Original,NITRO,PST 5,5.0,609,NITRO,PRS 8,8.3,836,NITRO,FTR 10,10.3,976,N/A,,,,Light,222,2.5.0,20/1/22,N/A,,✓
SAIKYO STRONGER,"REDALiCE
vs. USAO",Memory Archive: Partner,"最強FUMEN
(夜浪 ft. 東星)",PST 5,5.5,654,"最強FUMEN
(夜浪 ft. 東星)",PRS 9,9.4,"1,067","最強FUMEN
(夜浪 ft. 東星)",FTR 11,11.0,"1,384",N/A,,,,Conflict,205,2.5.0,20/1/22,N/A,,✓
world.execute(me);,Mili,Arcaea,toaster.chart(this);,PST 3,3.5,452,toaster.chart(this);,PRS 5,5.0,582,toaster.chart(this);,FTR 8,8.0,851,N/A,,,,Light,130,2.5.2,20/2/21,N/A,,
BLRINK,Sta,Adverse Prelude,過去の縁,PST 3,3.5,400,現在の縁,PRS 7+,7.8,683,未来の縁,FTR 9+,9.7,"1,015",N/A,,,,Conflict,115,2.5.3,20/3/9,N/A,,✓
"corps-sans-
organes",cybermiso,Ambivalent Vision,夜浪 「月食」,PST 4,4.5,438,夜浪 「月食」,PRS 7+,7.8,615,夜浪 「月食」,FTR 10,10.6,"1,077",N/A,,,,Conflict,105,2.6.0,20/3/25,N/A,,✓
Oblivia,Saiph,Arcaea,Toaster,PST 3,3.5,574,Toaster,PRS 5,5.0,517,Toaster,FTR 8,8.3,956,"Nitro
「The Forgotten」",BYD 9+,9.7,"1,021",Light,180,2.6.0,20/3/25,5.3.0,24/1/25,✓
amygdata,nitro,Memory Archive: Original,Nitro,PST 4,4.0,504,Nitro,PRS 7,7.5,711,Nitro,FTR 9+,9.7,"1,199",N/A,,,,Conflict,154,2.6.0,20/3/25,N/A,,✓
Singularity VVVIP,Arcaea Sound Team against ETIA.,Binary Enfold,N/A,,,,N/A,,,,"《WARNING》
Arcaea Charting Team
【Electrify】 vs TaroNuke",FTR ?,0.0,770,Exschwasion against. 絶滅,BYD 10,10.4,"1,114",Conflict,175,2.6.1,20/4/1,3.12.2,22/3/9,✓
Equilibrium,Maozon,Black Fate,Kurorak,PST 3,3.5,587,Kurorak,PRS 6,6.5,724,Kurorak,FTR 9,9.4,951,N/A,,,,Light,180,3.0.0,20/5/27,N/A,,✓
Antagonism,Yooh vs. siromaru,Black Fate,Toaster,PST 4,4.5,431,Toaster,PRS 7+,7.8,738,Toaster,FTR 9+,9.9,"1,142",N/A,,,,Conflict,160,3.0.0,20/5/27,N/A,,✓
Lost Desire,"Powerless
feat. Sennzai",Black Fate,Darkest Dream,PST 4,4.0,684,Darkest Dream,PRS 7+,7.8,871,Darkest Dream,FTR 9+,9.8,"1,154",N/A,,,,Conflict,170,3.0.0,20/5/27,N/A,,✓
#1f1e33,かめりあ(EDP),Black Fate,夜浪,PST 5,5.5,765,夜浪,PRS 9,9.2,"1,144","夜浪 VS 東星 ""Convergence""",FTR 10+,10.9,"1,576",N/A,,,,Conflict,181,3.0.0,20/5/27,N/A,,✓
Dantalion,Team Grimoire,Black Fate,夜浪,PST 5,5.0,731,東星,PRS 8,8.2,843,"夜浪 X 東星
""The Lost""",FTR 10+,10.9,"1,476",N/A,,,,Conflict,186,3.0.0,20/5/27,N/A,,✓
Tempestissimo,t+pazolite,Black Fate,Prelude - Overture,PST 7,7.0,919,Convergence - Intermezzo,PRS 9,9.5,"1,034",Onslaught - Crescendo,FTR 10+,10.7,"1,254","Finale -
The Tempest",BYD 11,11.5,"1,540",Conflict,231,3.0.0,20/5/27,3.0.0,20/5/27,✓
Arcahv,Feryquitous,Black Fate,∅,PST 4,4.5,818,∅,PRS 7+,7.8,884,∅,FTR 9+,9.9,"1,065",N/A,,,,Light,191,3.0.0,20/5/27,N/A,,✓
1F√,WHITEFISTS,Extend Archive 1: Visions,Nitro,PST 2,2.5,411,Nitro,PRS 6,6.5,539,Nitro,FTR 8,8.2,758,N/A,,,,Light,130,3.0.0,20/5/27,N/A,,
"Gekka
(Short Version)",Nhato,Extend Archive 1: Visions,Nitro,PST 4,4.0,559,Nitro,PRS 6,6.5,628,Nitro,FTR 8,8.6,817,N/A,,,,Light,132,3.0.0,20/5/27,N/A,,
Give Me a Nightmare,アリスシャッハと魔法の楽団,Extend Archive 1: Visions,CERiNG,PST 3,3.5,676,CERiNG,PRS 5,5.5,817,CERiNG,FTR 8+,8.9,948,N/A,,,,Conflict,95-190,3.0.0,20/5/27,N/A,,✓
Vivid Theory,ak+q,Extend Archive 1: Visions,TaroNuke,PST 2,2.0,447,TaroNuke,PRS 5,5.0,658,TaroNuke,FTR 8+,8.8,885,N/A,,,,Light,178,3.0.0,20/5/27,N/A,,✓
Black Lotus,wa.,Extend Archive 1: Visions,Exschwasion,PST 3,3.0,653,Exschwasion,PRS 6,6.5,687,Exschwasion,FTR 9+,9.7,965,N/A,,,,Conflict,200,3.0.0,20/5/27,N/A,,
Altale,Sakuzyo,Memory Archive: Variety,Kurorak,PST 2,2.5,357,Kurorak,PRS 5,5.5,424,Kurorak,FTR 9+,9.7,690,N/A,,,,Light,83-90,3.0.0,20/5/27,N/A,,
"Faint Light
(Arcaea Edit)",Taishi,Extend Archive 1: Visions,Nitro,PST 3,3.0,587,Nitro,PRS 6,6.0,711,Nitro,FTR 9,9.1,809,N/A,,,,Light,133,3.0.3,20/7/8,N/A,,
"Feels So Right
feat. Renko",Mysteka,Memory Archive: Variety,Toaster,PST 3,3.5,594,Toaster,PRS 6,6.5,636,Toaster,FTR 9,9.3,947,N/A,,,,Light,180,3.0.3,20/7/8,N/A,,
Scarlet Cage,Daisuke Kurosawa,Memory Archive: Partner,赤Nitro,PST 4,4.0,570,赤Nitro,PRS 7,7.5,711,赤Nitro,FTR 9+,9.8,"1,195",N/A,,,,Conflict,166,3.0.3,20/7/8,N/A,,✓
Teriqma,owl＊tree,Memory Archive: Music Game,Nitro,PST 3,3.0,345,Nitro,PRS 6,6.5,579,Nitro,FTR 9,9.4,873,én 200716,BYD 9+,9.7,954,Conflict,128,3.0.5,20/7/16,4.4.0,23/3/23,
MAHOROBA,Zekk,Memory Archive: Partner,Nitro,PST 3,3.0,422,Nitro,PRS 6,6.5,632,TaroNuke + Nitro,FTR 9,9.5,828,N/A,,,,Light,195,3.0.6,20/8/7,N/A,,✓
BADTEK,EBIMAYO,Memory Archive: Original,Toaster,PST 4,4.0,532,Toaster,PRS 7,7.0,595,"BADTOAST
feat. Kurorak",FTR 9+,9.7,916,N/A,,,,Conflict,190,3.1.0,20/8/21,N/A,,✓
Malicious Mischance,s-don,Memory Archive: Partner,×NITRO×,PST 4,4.0,510,×NITRO×,PRS 7+,7.8,706,×NITRO×,FTR 10,10.2,"1,126",N/A,,,,Conflict,155,3.1.2,20/9/3,N/A,,✓
Got hive of Ra,E.G.G.,Groove Coaster,Groove Nitro,PST 3,3.0,322,Groove Nitro,PRS 6,6.5,509,Groove Nitro,FTR 9+,9.8,794,N/A,,,,Light,268,3.2.0,20/9/16,N/A,,
BUCHiGiRE Berserker,"REDALiCE
vs. MASAKI",Memory Archive: Music Game,夜浪,PST 5,5.0,850,夜浪,PRS 8,8.6,"1,046","東星 vs 夜浪
《BERSERK》",FTR 10+,10.9,"1,412",N/A,,,,Conflict,200,3.2.0,20/9/16,N/A,,
CROSS†OVER,HyuN feat. LyuU,Extend Archive 1: Visions,Exschwasion,PST 4,4.0,653,Exschwasion,PRS 6,6.5,810,Exschwasion,FTR 9,9.4,"1,094",N/A,,,,Conflict,200,3.2.1,20/10/7,N/A,,
Galaxy Friends,Kobaryo,Memory Archive: Variety,Nitrome X,PST 3,3.5,474,Nitrome X,PRS 6,6.0,572,Nitrome X,FTR 9+,9.8,"1,013",N/A,,,,Conflict,300,3.2.1,20/10/7,N/A,,
Lapis,SHIKI,Extend Archive 1: Visions,CERiNG,PST 2,2.0,391,CERiNG,PRS 6,6.0,520,CERiNG,FTR 9,9.4,920,N/A,,,,Light,146,3.2.2,20/10/30,N/A,,
Xeraphinite,BlackY,Memory Archive: Original,東星※空の宝石,PST 3,3.0,383,東星※空の宝石,PRS 7,7.5,643,東星※空の宝石,FTR 9+,9.8,"1,048",N/A,,,,Light,146,3.2.2,20/10/30,N/A,,✓
Xanatos,Tatsh,Memory Archive: Original,XERiNG,PST 4,4.0,735,eXschwasion,PRS 7,7.5,938,XERiNG × eXschwasion × NitromeX,FTR 10,10.0,"1,232",N/A,,,,Conflict,170,3.2.3,20/11/19,N/A,,✓
Eccentric Tale,Yamajet,Ephemeral Page,Nitro,PST 2,2.0,313,Nitro,PRS 5,5.5,483,Nitro,FTR 8,8.4,732,N/A,,,,Conflict,132,3.3.0,20/12/3,N/A,,✓
Alice à la mode,Masanori Akita,Ephemeral Page,Toaster,PST 2,2.5,436,Toaster,PRS 6,6.5,618,Toaster,FTR 9,9.2,872,N/A,,,,Light,80-134,3.3.0,20/12/3,N/A,,✓
Alice's Suitcase,Endorfin.,Ephemeral Page,Kurorak,PST 3,3.5,644,Kurorak,PRS 6,6.0,660,Kurorak,FTR 9,9.1,999,N/A,,,,Light,190,3.3.0,20/12/3,N/A,,✓
Jump,Rasmus Faber,Ephemeral Page,Nitroだー！,PST 4,4.0,531,Nitroだー！,PRS 6,6.0,622,Nitroだー！,FTR 9,9.0,841,N/A,,,,Light,133,3.3.0,20/12/3,N/A,,✓
Felis,M2U,Ephemeral Page,東星,PST 4,4.0,463,東星,PRS 7,7.5,624,東星,FTR 10,10.4,"1,153",N/A,,,,Light,155,3.3.0,20/12/3,N/A,,✓
Purple Verse,Hommarju,Extend Archive 1: Visions,Exschwasion,PST 4,4.0,558,Exschwasion,PRS 7,7.5,664,Exschwasion,FTR 9,9.6,"1,023",/ERROR/ 絶滅,BYD 10,10.6,"1,202",Conflict,170,3.3.0,20/12/3,5.3.0,24/1/25,✓
Beside You,江口孝宏,The Journey Onwards,CERiNG,PST 2,2.5,526,CERiNG,PRS 6,6.0,634,CERiNG,FTR 8+,8.7,703,N/A,,,,Light,181,3.3.1,20/12/9,N/A,,✓
Heart Jackin',Yu_Asahina,The Journey Onwards,TaroNuke + Nitro,PST 3,3.0,506,TaroNuke + Nitro,PRS 5,5.5,543,TaroNuke + Nitro,FTR 9+,9.7,"1,112",N/A,,,,Light,160,3.3.1,20/12/9,N/A,,✓
To: Alice Liddell,モリモリあつし,The Journey Onwards,"Yours Sincerely,
夜浪",PST 4,4.0,535,"Yours Sincerely,
夜浪",PRS 7,7.5,674,"Yours Sincerely,
夜浪",FTR 10,10.3,998,N/A,,,,Conflict,222,3.3.1,20/12/9,N/A,,✓
Lazy Addiction,sky_delta,O.N.G.E.K.I.,Nitro without Toaster.,PST 2,2.5,462,Nitro without Toaster.,PRS 6,6.0,647,Nitro without Toaster.,FTR 9,9.6,"1,031",N/A,,,,Light,185,3.4.0,20/12/17,N/A,,
Dazzle hop,"Sampling
Masters MEGA",O.N.G.E.K.I.,Kuro rak,PST 3,3.5,561,Kuro rak,PRS 6,6.5,571,Kuro rak,FTR 9+,9.7,"1,022",N/A,,,,Conflict,220,3.4.0,20/12/17,N/A,,
Viyella's Tears,Laur,O.N.G.E.K.I.,東星の涙,PST 4,4.0,716,東星の涙,PRS 7+,7.8,942,東星の涙,FTR 10,10.3,"1,403",N/A,,,,Conflict,218,3.4.0,20/12/17,N/A,,
ω4,"穴山大輔 vs.
光吉猛修 vs. Kai",O.N.G.E.K.I.,τ0,PST 3,3.5,816,τ0,PRS 7+,7.8,943,τ0,FTR 10+,10.8,"1,393",N/A,,,,Light,71-192,3.4.0,20/12/17,N/A,,
April showers,cubesato,maimai,Nitro-100号,PST 2,2.0,363,Nitro-100号,PRS 5,5.5,544,Nitro-100号,FTR 8,8.6,697,N/A,,,,Light,79,3.4.1,21/1/8,N/A,,
7thSense,削除,maimai,石樂,PST 3,3.0,360,石樂,PRS 7+,7.8,739,石樂,FTR 9+,9.9,925,N/A,,,,Conflict,150,3.4.1,21/1/8,N/A,,
Oshama Scramble!,t+pazolite,maimai,Nitro!+9牛乳,PST 3,3.5,508,Nitro!+99牛乳,PRS 6,6.5,568,Nitro!+999牛乳,FTR 10,10.0,"1,073",N/A,,,,Light,190,3.4.1,21/1/8,N/A,,
AMAZING MIGHTYYYY!!!!,WAiKURO,maimai,AMAZING TOASTYYYY!!!!,PST 4,4.5,624,AMAZING TOASTYYYY!!!!,PRS 7+,7.8,776,AMAZING TOASTYYYY!!!!,FTR 10+,10.7,"1,249",N/A,,,,Conflict,185,3.4.1,21/1/8,N/A,,
Climax,USAO,CHUNITHM 2,"Nitro
-EXTRA ROUND-",PST 4,4.5,773,"Nitro
-EXTRA ROUND-",PRS 7+,7.8,988,"Nitro
-EXTRA ROUND-",FTR 10,10.4,"1,367",N/A,,,,Conflict,190,3.5.0,21/1/21,N/A,,
Last Celebration,Laur vs. CK,CHUNITHM 2,Nitro affected by 'CHUNITHM',PST 3,3.5,969,Nitro affected by 'CHUNITHM',PRS 6,6.5,994,Nitro affected by 'CHUNITHM',FTR 10,10.5,"1,475",N/A,,,,Conflict,238,3.5.0,21/1/21,N/A,,
"Misdeed
-la bonté de Dieu et l'origine du mal-","光吉猛修
vs. 穴山大輔",CHUNITHM 2,"神の啓示
「人類の限界」",PST 5,5.5,814,"神の啓示
「人類の希望」",PRS 8,8.5,"1,070","神の啓示
「人類の未来」",FTR 10+,10.9,"1,522",N/A,,,,Light,190,3.5.0,21/1/21,N/A,,
AttraqtiA,かめりあ,Memory Archive: Original,Toaster affected by 'CHUNITHM',PST 4,4.0,732,Toaster affected by 'CHUNITHM',PRS 8,8.3,"1,002",Toaster affected by 'CHUNITHM',FTR 10,10.6,"1,433",N/A,,,,Light,202,3.5.0,21/1/21,N/A,,✓
Glow,SPACELECTRO,Extend Archive 1: Visions,Exschwasion,PST 4,4.0,504,Exschwasion,PRS 7,7.5,666,Exschwasion,FTR 9,9.3,916,N/A,,,,Conflict,165,3.5.0,21/1/21,N/A,,✓
enchanted love,linear ring,Extend Archive 1: Visions,Toaster,PST 2,2.0,436,Toaster,PRS 4,4.5,617,Toaster,FTR 8,8.6,759,N/A,,,,Light,95,3.5.1,21/2/11,N/A,,
Bamboo,立秋 feat. ちょこ,Extend Archive 1: Visions,竹の子,PST 3,3.0,499,竹の子,PRS 6,6.5,631,竹の子,FTR 10,10.0,"1,050",N/A,,,,Light,5-315,3.5.1,21/2/11,N/A,,
"GIMME
DA BLOOD",C-Show,Memory Archive: Partner,夜浪,PST 3,3.5,582,夜浪,PRS 7,7.5,737,夜浪,FTR 10,10.4,"1,093",N/A,,,,Conflict,87-110,3.5.2,21/3/9,N/A,,✓
overdead.,fn,Memory Archive: Original,N/A,,,,N/A,,,,《WARNING》 -chartaesthesia- LIMITER:underflow_error% (OVERDRIVE:+overflow_error%),FTR ?,0.0,"1,228",絶滅 over 夜浪.,BYD 10,10.5,"1,503",Conflict,500,3.5.3,21/4/1,3.12.2,22/3/9,✓
Life is PIANO,Junk,Extend Archive 1: Visions,Nitro,PST 3,3.5,398,Nitro,PRS 6,6.0,437,Nitro,FTR 9,9.1,674,N/A,,,,Light,133,3.5.4,21/4/9,N/A,,
Can I Friend You on Bassbook? Lol,"かめりあ
feat. ななひら",Memory Archive: Variety,トースト食べる？笑,PST 3,3.0,415,トースト食べる？笑,PRS 6,6.5,548,トースト食べる？笑,FTR 9,9.3,861,N/A,,,,Light,128,3.5.4,21/4/9,N/A,,
Paper Witch,Yu-dachi,Esoteric Order,CERiNG,PST 2,2.0,348,CERiNG,PRS 5,5.0,487,CERiNG,FTR 8+,8.7,793,N/A,,,,Light,130,3.6.0,21/5/11,N/A,,✓
Crystal Gravity,"Tanchiky
vs. siromaru",Esoteric Order,Exschwasion,PST 3,3.5,571,Exschwasion,PRS 6,6.5,653,Exschwasion,FTR 9,9.4,872,N/A,,,,Conflict,178,3.6.0,21/5/11,N/A,,✓
Far Away Light,"technoplanet feat.
はるの & 黒沢ダイスケ",Esoteric Order,Toaster,PST 4,4.5,656,Toaster,PRS 7+,7.8,769,Toaster,FTR 9+,9.8,"1,322",N/A,,,,Light,180-216,3.6.0,21/5/11,N/A,,✓
Löschen,"BlackY feat.
Risa Yuzuki",Esoteric Order,絶滅,PST 3,3.5,642,絶滅,PRS 7,7.0,850,絶滅,FTR 10,10.2,"1,235",N/A,,,,Conflict,181,3.6.0,21/5/11,N/A,,✓
Aegleseeker,"Silentroom
vs. Frums",Esoteric Order,<RECORD START> 0:,PST 5,5.5,973,"<OBSRV> boundary(?°a,?°A)",PRS 9,9.1,"1,235",L₆: The Void,FTR 11,11.1,"1,568",N/A,,,,Light,234,3.6.0,21/5/11,N/A,,✓
Coastal Highway,Glitch Droids,Pale Tapestry,Exschwasion,PST 3,3.0,355,Exschwasion,PRS 6,6.0,479,Exschwasion,FTR 9,9.0,732,N/A,,,,Light,110,3.6.0,21/5/11,N/A,,✓
ΟΔΥΣΣΕΙΑ,Sober Bear,Pale Tapestry,ΤΟΑΣΤΕΡ,PST 4,4.0,717,ΤΟΑΣΤΕΡ,PRS 7+,7.8,909,ΤΟΑΣΤΕΡ,FTR 9,9.5,"1,092",N/A,,,,Conflict,174,3.6.0,21/5/11,N/A,,✓
Overwhelm,xi,Pale Tapestry,夜浪,PST 5,5.0,854,夜浪,PRS 8,8.5,"1,038",夜浪,FTR 10,10.6,"1,251",N/A,,,,Light,200,3.6.0,21/5/11,N/A,,✓
Vandalism,Ashrount,Extend Archive 1: Visions,Kurorak,PST 3,3.5,668,Kurorak,PRS 7,7.0,685,Kurorak,FTR 9+,9.7,"1,087",N/A,,,,Conflict,194,3.6.0,21/5/11,N/A,,✓
First Snow,黒魔,Divided Heart,Nitro,PST 2,2.5,366,Nitro,PRS 4,4.5,442,Nitro,FTR 7+,7.8,578,N/A,,,,Light,88,1.0.0c 3.10.0,21/5/18 21/12/9,N/A,,✓
Blocked Library,影虎。,Divided Heart,Exschwasion,PST 3,3.5,449,Exschwasion,PRS 6,6.5,622,Exschwasion,FTR 9,9.3,850,N/A,,,,Conflict,148,1.0.0c 3.10.0,21/5/18 21/12/9,N/A,,✓
Blue Rose,Cosmograph,Divided Heart,CERiNG,PST 2,2.0,595,CERiNG,PRS 6,6.0,669,CERiNG,FTR 9,9.1,955,N/A,,,,Light,250-295,1.0.0c 3.10.0,21/5/18 21/12/9,N/A,,✓
nέo κósmo,ak+q × Street,Divided Heart,Nitro × Toaster,PST 4,4.0,603,Nitro × Toaster,PRS 7+,7.8,791,Nitro × Toaster,FTR 9+,9.7,979,N/A,,,,Conflict,190,1.0.0c 3.10.0,21/5/18 21/12/9,N/A,,✓
Lightning Screw,HiTECH NINJA,Divided Heart,東星,PST 4,4.5,611,東星,PRS 7+,7.8,811,東星,FTR 10,10.5,"1,192",N/A,,,,Light,190,1.0.0c 3.10.0,21/5/18 21/12/9,N/A,,✓
Turbocharger,A/I,Extend Archive 1: Visions,Toaster,PST 2,2.5,419,Toaster,PRS 6,6.0,659,Toaster,FTR 9,9.0,979,N/A,,,,Light,128-170,3.6.2,21/6/10,N/A,,✓
Aurgelmir,"溝口ゆうま
feat. 大瀬良あい",Memory Archive: Music Game,夜浪,PST 4,4.5,540,夜浪,PRS 8,8.5,765,夜浪,FTR 10,10.5,"1,100",N/A,,,,Conflict,122-230,1.1.0c 3.12.4,21/6/22 22/3/23,N/A,,
THE ULTIMACY,"aran vs.
Massive New Krew",Memory Archive: Original,東星 vs Toaster,PST 3,3.0,749,東星 vs Toaster,PRS 7,7.0,919,東星 vs Toaster,FTR 9+,9.8,"1,304",N/A,,,,Conflict,200,3.6.4,21/6/30,N/A,,✓
